,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
3230," Tuxensvej 19, 1 2700 Brønshøj ",7000000.0,2020-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/584682/262A39A6-EC09-4D85-BCCF-F9B5EBD5CBF4,https://www.boliga.dk//bbrinfo/262a39a6-ec09-4d85-bccf-f9b5ebd5cbf4,"(55.70242485, 12.50271836)","Tuxensvej 19, 1., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
3231," Tuxensvej 19, 1 2700 Brønshøj ",7000000.0,2020-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/584682/262A39A6-EC09-4D85-BCCF-F9B5EBD5CBF4,https://www.boliga.dk//bbrinfo/262a39a6-ec09-4d85-bccf-f9b5ebd5cbf4,"(55.70242485, 12.50271836)","Tuxensvej 19, 1., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 1,400 V el fra værk
3233," Tuxensvej 19, st 2700 Brønshøj ",7000000.0,2020-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/584682/B6A8A8D8-2AF4-422B-A24F-0BAC202CA561,https://www.boliga.dk//bbrinfo/b6a8a8d8-2af4-422b-a24f-0bac202ca561,"(55.70242485, 12.50271836)","Tuxensvej 19, 1., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 2,400 V el fra værk
3234," Tuxensvej 19, st 2700 Brønshøj ",7000000.0,2020-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/584682/B6A8A8D8-2AF4-422B-A24F-0BAC202CA561,https://www.boliga.dk//bbrinfo/b6a8a8d8-2af4-422b-a24f-0bac202ca561,"(55.70242485, 12.50271836)","Tuxensvej 19, 1., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,82, 1,82,Vandskyllende toilet i enheden,3, 2,400 V el fra værk
3236," Præstekærvej 20, 2. mf 2700 Brønshøj ",1295000.0,2020-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/445097/2D37A8C9-45AD-4938-B551-01FF4456D66F,https://www.boliga.dk//bbrinfo/2d37a8c9-45ad-4938-b551-01ff4456d66f,"(55.70598471, 12.49282199)","Præstekærvej 20, 1. mf, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,41, 1,41,Vandskyllende toilet i enheden,1, 1,-
3239, Lilliendalsvej 15B 2700 Brønshøj ,6695000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/343057/C428FC18-74F2-42E0-8BFC-006B15CC4B11,https://www.boliga.dk//bbrinfo/c428fc18-74f2-42e0-8bfc-006b15cc4b11,"(55.70073464, 12.48714115)","Lilliendalsvej 15B, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,Fritliggende enfamiliehus,Badeværelse i enheden,157, 1,157,Vandskyllende toilet i enheden,6, 2,-
3241," Præstekærvej 22, 4. th 2700 Brønshøj ",2640000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/445283/85030C3C-86F1-482C-9726-6047CEDB4914,https://www.boliga.dk//bbrinfo/85030c3c-86f1-482c-9726-6047cedb4914,"(55.70588768, 12.49270249)","Præstekærvej 22, 2. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,-
3242," Præstekærvej 22, 4. th 2700 Brønshøj ",1895000.0,2017-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/445283/85030C3C-86F1-482C-9726-6047CEDB4914,https://www.boliga.dk//bbrinfo/85030c3c-86f1-482c-9726-6047cedb4914,"(55.70588768, 12.49270249)","Præstekærvej 22, 2. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,-
3243," Præstekærvej 22, 4. th 2700 Brønshøj ",1450000.0,2007-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/445283/85030C3C-86F1-482C-9726-6047CEDB4914,https://www.boliga.dk//bbrinfo/85030c3c-86f1-482c-9726-6047cedb4914,"(55.70588768, 12.49270249)","Præstekærvej 22, 2. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,77, 1,77,Vandskyllende toilet i enheden,3, 1,-
3246, Abildvang 68 2700 Brønshøj ,3600000.0,2020-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/1506/7861292F-08B6-48EE-B92A-F30F48714E8E,https://www.boliga.dk//bbrinfo/7861292f-08b6-48ee-b92a-f30f48714e8e,"(55.71523338, 12.46505937)","Abildvang 68, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Række-, kæde- og klyngehus",Badeværelse i enheden,101, 1,101,Vandskyllende toilet i enheden,4, 2,400 V el fra værk
